technique_id,control_id,similarity_score
T1055.008,D3-FCA,0.13785125708016613
T1055.008,D3-SCF,0.13649099093222916
T1055.008,D3-HBPI,0.11533264102686103
T1021.001,D3-RFAM,0.1419704205101819
T1021.001,D3-RTSD,0.11926140426901248
T1021.001,D3-RTA,0.07410139586021923
T1021.001,D3-CP,0.07343058705731521
T1055.015,D3-PCSV,0.20377820766520957
T1055.015,D3-DCE,0.19843331629657934
T1055.015,D3-ABPI,0.1379539585179157
T1055.015,D3-PSEP,0.1366738011360922
T1055.001,D3-PCSV,0.13723008430185848
T1055.001,D3-HBPI,0.13679341186315908
T1055.001,D3-PLA,0.13302419066844012
T1055.001,D3-PSEP,0.12607375087025646
T1490,D3-BDR,0.90
T1490,D3-BAC,0.88
T1490,D3-DCE,0.10351109997667056
T1490,D3-PCSV,0.08392649278817099
T1490,D3-CR,0.08301674028936351
